Size, Time
131072, 2.1457672119140625e-05
131072, 1.8596649169921875e-05
131072, 1.7881393432617188e-05
131072, 3.3855438232421875e-05
131072, 1.8835067749023438e-05
131072, 1.8596649169921875e-05
131072, 1.7404556274414062e-05
131072, 1.7404556274414062e-05
262144, 1.430511474609375e-05
262144, 1.9788742065429688e-05
262144, 1.3828277587890625e-05
262144, 2.384185791015625e-05
262144, 1.9311904907226562e-05
262144, 1.9550323486328125e-05
262144, 2.1696090698242188e-05
262144, 1.3828277587890625e-05
262144, 1.9073486328125e-05
262144, 2.288818359375e-05
524288, 1.9550323486328125e-05
524288, 1.3828277587890625e-05
524288, 2.2649765014648438e-05
524288, 2.3365020751953125e-05
524288, 2.3126602172851562e-05
524288, 2.2649765014648438e-05
524288, 2.3126602172851562e-05
524288, 2.09808349609375e-05
524288, 2.2411346435546875e-05
524288, 2.1696090698242188e-05
1048576, 1.4066696166992188e-05
1048576, 2.0503997802734375e-05
1048576, 2.288818359375e-05
1048576, 2.3126602172851562e-05
1048576, 2.002716064453125e-05
1048576, 1.2874603271484375e-05
1048576, 2.193450927734375e-05
1048576, 2.4557113647460938e-05
1048576, 1.4066696166992188e-05
1048576, 2.0265579223632812e-05
