Type, Size, Saturation, Time
list, 2, 45, 2.86102294921875e-05
list, 2, 45, 3.0040740966796875e-05
list, 2, 50, 4.029273986816406e-05
list, 2, 50, 3.3855438232421875e-05
list, 2, 50, 3.695487976074219e-05
list, 2, 50, 3.552436828613281e-05
list, 2, 50, 3.695487976074219e-05
list, 2, 50, 4.792213439941406e-05
list, 2, 50, 4.315376281738281e-05
list, 2, 50, 4.458427429199219e-05
list, 2, 50, 3.695487976074219e-05
list, 2, 50, 4.363059997558594e-05
list, 2, 55, 4.363059997558594e-05
list, 2, 55, 3.7670135498046875e-05
list, 2, 55, 4.124641418457031e-05
list, 2, 55, 2.6941299438476562e-05
list, 2, 55, 2.5510787963867188e-05
list, 2, 55, 3.075599670410156e-05
list, 2, 55, 4.0531158447265625e-05
list, 2, 55, 4.220008850097656e-05
list, 2, 55, 4.0531158447265625e-05
list, 2, 55, 3.9577484130859375e-05
list, 2, 60, 3.600120544433594e-05
list, 2, 60, 3.528594970703125e-05
list, 2, 60, 3.647804260253906e-05
list, 2, 60, 3.7670135498046875e-05
list, 2, 60, 2.86102294921875e-05
list, 2, 60, 3.075599670410156e-05
list, 2, 60, 3.0279159545898438e-05
list, 2, 60, 2.9325485229492188e-05
list, 2, 60, 3.814697265625e-05
list, 2, 60, 4.00543212890625e-05
list, 2, 65, 4.1484832763671875e-05
list, 2, 65, 3.5762786865234375e-05
list, 2, 65, 3.0279159545898438e-05
list, 2, 65, 3.4809112548828125e-05
list, 2, 65, 6.723403930664062e-05
list, 2, 65, 3.6716461181640625e-05
list, 2, 65, 3.814697265625e-05
list, 2, 65, 4.029273986816406e-05
list, 2, 65, 2.6464462280273438e-05
list, 2, 65, 2.86102294921875e-05
list, 2, 70, 3.0279159545898438e-05
list, 2, 70, 4.553794860839844e-05
list, 2, 70, 3.0279159545898438e-05
list, 2, 70, 3.886222839355469e-05
list, 2, 70, 3.886222839355469e-05
list, 2, 70, 4.458427429199219e-05
list, 2, 70, 3.910064697265625e-05
list, 2, 70, 3.719329833984375e-05
list, 2, 70, 4.0531158447265625e-05
list, 2, 70, 3.24249267578125e-05
list, 2, 75, 2.5272369384765625e-05
list, 2, 75, 2.3365020751953125e-05
list, 2, 75, 2.6464462280273438e-05
list, 2, 75, 3.075599670410156e-05
list, 2, 75, 5.555152893066406e-05
list, 2, 75, 3.170967102050781e-05
list, 2, 75, 2.6941299438476562e-05
list, 2, 75, 3.409385681152344e-05
list, 2, 75, 2.6464462280273438e-05
list, 2, 75, 3.6716461181640625e-05
list, 2, 80, 3.337860107421875e-05
list, 2, 80, 3.886222839355469e-05
list, 2, 80, 3.4332275390625e-05
list, 2, 80, 4.601478576660156e-05
list, 2, 80, 4.458427429199219e-05
list, 2, 80, 3.981590270996094e-05
list, 2, 80, 3.361701965332031e-05
list, 2, 80, 3.409385681152344e-05
list, 2, 80, 3.647804260253906e-05
list, 2, 80, 3.3855438232421875e-05
list, 2, 85, 3.886222839355469e-05
list, 2, 85, 4.1961669921875e-05
list, 2, 85, 2.86102294921875e-05
list, 2, 85, 2.4318695068359375e-05
list, 2, 85, 3.409385681152344e-05
list, 2, 85, 2.8371810913085938e-05
list, 2, 85, 4.00543212890625e-05
list, 2, 85, 3.981590270996094e-05
list, 2, 85, 4.3392181396484375e-05
list, 2, 85, 3.910064697265625e-05
list, 2, 90, 3.6716461181640625e-05
list, 2, 90, 3.5762786865234375e-05
list, 2, 90, 3.743171691894531e-05
list, 2, 90, 2.9802322387695312e-05
list, 2, 90, 3.266334533691406e-05
list, 2, 90, 3.123283386230469e-05
list, 2, 90, 3.2901763916015625e-05
list, 2, 90, 3.790855407714844e-05
list, 2, 90, 6.437301635742188e-05
list, 2, 90, 4.38690185546875e-05
list, 2, 95, 5.221366882324219e-05
list, 2, 95, 4.410743713378906e-05
list, 2, 95, 3.4332275390625e-05
list, 2, 95, 2.47955322265625e-05
list, 2, 95, 2.5510787963867188e-05
list, 2, 95, 3.0279159545898438e-05
list, 2, 95, 3.1948089599609375e-05
list, 2, 95, 3.266334533691406e-05
list, 2, 95, 2.9087066650390625e-05
list, 2, 95, 3.4809112548828125e-05
list, 2, 100, 3.910064697265625e-05
list, 2, 100, 3.266334533691406e-05
list, 2, 100, 2.8133392333984375e-05
list, 2, 100, 3.647804260253906e-05
list, 2, 100, 3.1948089599609375e-05
list, 2, 100, 3.218650817871094e-05
list, 2, 100, 3.886222839355469e-05
list, 2, 100, 4.38690185546875e-05
list, 2, 100, 3.504753112792969e-05
list, 2, 100, 4.9114227294921875e-05
list, 3, 5, 3.6716461181640625e-05
list, 3, 5, 4.124641418457031e-05
list, 3, 5, 3.6716461181640625e-05
list, 3, 5, 4.7206878662109375e-05
list, 3, 5, 3.719329833984375e-05
list, 3, 5, 4.00543212890625e-05
list, 3, 5, 3.790855407714844e-05
list, 3, 5, 4.220008850097656e-05
list, 3, 5, 4.57763671875e-05
list, 3, 5, 4.220008850097656e-05
list, 3, 10, 3.7670135498046875e-05
list, 3, 10, 3.266334533691406e-05
list, 3, 10, 3.504753112792969e-05
list, 3, 10, 3.5762786865234375e-05
list, 3, 10, 3.695487976074219e-05
list, 3, 10, 3.647804260253906e-05
list, 3, 10, 3.314018249511719e-05
list, 3, 10, 4.57763671875e-05
list, 3, 10, 4.863739013671875e-05
list, 3, 10, 4.100799560546875e-05
list, 3, 15, 3.9577484130859375e-05
list, 3, 15, 3.0040740966796875e-05
list, 3, 15, 4.100799560546875e-05
list, 3, 15, 3.528594970703125e-05
list, 3, 15, 3.647804260253906e-05
list, 3, 15, 2.765655517578125e-05
list, 3, 15, 3.62396240234375e-05
list, 3, 15, 3.1948089599609375e-05
list, 3, 15, 3.170967102050781e-05
list, 3, 15, 4.029273986816406e-05
list, 3, 20, 2.9802322387695312e-05
list, 3, 20, 3.0994415283203125e-05
list, 3, 20, 3.600120544433594e-05
list, 3, 20, 2.9087066650390625e-05
list, 3, 20, 2.9325485229492188e-05
list, 3, 20, 4.100799560546875e-05
list, 3, 20, 4.267692565917969e-05
list, 3, 20, 3.528594970703125e-05
list, 3, 20, 4.57763671875e-05
list, 3, 20, 5.269050598144531e-05
list, 3, 25, 3.409385681152344e-05
