Type, Size, Saturation, Time
list, 1, 95, 2.384185791015625e-06
list, 1, 95, 2.86102294921875e-06
list, 1, 95, 3.814697265625e-06
list, 1, 95, 3.0994415283203125e-06
list, 1, 95, 3.0994415283203125e-06
list, 1, 100, 1.3828277587890625e-05
list, 1, 100, 3.0994415283203125e-06
list, 1, 100, 2.6226043701171875e-06
list, 1, 100, 4.0531158447265625e-06
list, 1, 100, 3.5762786865234375e-06
list, 1, 100, 3.337860107421875e-06
list, 1, 100, 3.5762786865234375e-06
list, 1, 100, 3.337860107421875e-06
list, 1, 100, 2.86102294921875e-06
list, 1, 100, 2.86102294921875e-06
list, 2, 5, 2.6226043701171875e-06
list, 2, 5, 2.6226043701171875e-06
list, 2, 5, 3.0994415283203125e-06
list, 2, 5, 3.814697265625e-06
list, 2, 5, 2.6226043701171875e-06
list, 2, 5, 2.86102294921875e-06
list, 2, 5, 3.5762786865234375e-06
list, 2, 5, 2.384185791015625e-06
list, 2, 5, 2.86102294921875e-06
list, 2, 5, 2.1457672119140625e-06
list, 2, 10, 2.6226043701171875e-06
list, 2, 10, 2.86102294921875e-06
list, 2, 10, 2.6226043701171875e-06
list, 2, 10, 3.0994415283203125e-06
list, 2, 10, 2.6226043701171875e-06
list, 2, 10, 2.6226043701171875e-06
list, 2, 10, 2.6226043701171875e-06
list, 2, 10, 3.0994415283203125e-06
list, 2, 10, 2.86102294921875e-06
list, 2, 10, 3.0994415283203125e-06
list, 2, 15, 2.6226043701171875e-06
list, 2, 15, 2.6226043701171875e-06
list, 2, 15, 2.86102294921875e-06
list, 2, 15, 3.814697265625e-06
list, 2, 15, 5.245208740234375e-06
list, 2, 15, 3.337860107421875e-06
list, 2, 15, 2.6226043701171875e-06
list, 2, 15, 3.337860107421875e-06
list, 2, 15, 2.6226043701171875e-06
list, 2, 15, 4.291534423828125e-06
list, 2, 20, 2.6226043701171875e-06
list, 2, 20, 3.0994415283203125e-06
list, 2, 20, 3.0994415283203125e-06
list, 2, 20, 2.6226043701171875e-06
list, 2, 20, 2.86102294921875e-06
list, 2, 20, 2.86102294921875e-06
list, 2, 20, 4.291534423828125e-06
list, 2, 20, 2.86102294921875e-06
list, 2, 20, 3.0994415283203125e-06
list, 2, 20, 2.86102294921875e-06
list, 2, 25, 2.86102294921875e-06
list, 2, 25, 3.0994415283203125e-06
list, 2, 25, 2.86102294921875e-06
list, 2, 25, 3.0994415283203125e-06
list, 2, 25, 2.86102294921875e-06
list, 2, 25, 3.5762786865234375e-06
list, 2, 25, 4.0531158447265625e-06
list, 2, 25, 2.86102294921875e-06
list, 2, 25, 3.337860107421875e-06
list, 2, 25, 3.337860107421875e-06
list, 2, 30, 2.6226043701171875e-06
list, 2, 30, 2.6226043701171875e-06
list, 2, 30, 2.6226043701171875e-06
list, 2, 30, 2.86102294921875e-06
list, 2, 30, 2.6226043701171875e-06
list, 2, 30, 2.86102294921875e-06
list, 2, 30, 2.384185791015625e-06
list, 2, 30, 2.6226043701171875e-06
list, 2, 30, 3.0994415283203125e-06
list, 2, 30, 2.86102294921875e-06
list, 2, 35, 2.86102294921875e-06
list, 2, 35, 2.6226043701171875e-06
list, 2, 35, 2.384185791015625e-06
