Type, Size, Saturation, Time
list, 2, 65, 3.0040740966796875e-05
list, 2, 65, 3.600120544433594e-05
list, 2, 70, 2.6702880859375e-05
list, 2, 70, 4.172325134277344e-05
list, 2, 70, 3.4809112548828125e-05
list, 2, 70, 6.175041198730469e-05
list, 2, 70, 5.7220458984375e-05
list, 2, 70, 5.6743621826171875e-05
list, 2, 70, 4.506111145019531e-05
list, 2, 70, 4.673004150390625e-05
list, 2, 70, 4.0531158447265625e-05
list, 2, 70, 4.57763671875e-05
list, 2, 75, 2.765655517578125e-05
list, 2, 75, 3.2901763916015625e-05
list, 2, 75, 3.3855438232421875e-05
list, 2, 75, 3.695487976074219e-05
list, 2, 75, 3.933906555175781e-05
list, 2, 75, 4.00543212890625e-05
list, 2, 75, 2.9802322387695312e-05
list, 2, 75, 3.552436828613281e-05
list, 2, 75, 3.266334533691406e-05
list, 2, 75, 5.3882598876953125e-05
list, 2, 80, 3.9577484130859375e-05
list, 2, 80, 4.673004150390625e-05
list, 2, 80, 5.030632019042969e-05
list, 2, 80, 3.24249267578125e-05
list, 2, 80, 2.8371810913085938e-05
list, 2, 80, 4.291534423828125e-05
list, 2, 80, 5.1021575927734375e-05
list, 2, 80, 3.8623809814453125e-05
list, 2, 80, 3.504753112792969e-05
list, 2, 80, 3.528594970703125e-05
list, 2, 85, 4.792213439941406e-05
list, 2, 85, 3.218650817871094e-05
list, 2, 85, 2.8133392333984375e-05
list, 2, 85, 2.6702880859375e-05
list, 2, 85, 4.1961669921875e-05
list, 2, 85, 3.3855438232421875e-05
list, 2, 85, 6.246566772460938e-05
list, 2, 85, 4.506111145019531e-05
list, 2, 85, 4.8160552978515625e-05
list, 2, 85, 5.6743621826171875e-05
list, 2, 90, 5.316734313964844e-05
list, 2, 90, 4.363059997558594e-05
list, 2, 90, 4.4345855712890625e-05
list, 2, 90, 3.123283386230469e-05
list, 2, 90, 3.4809112548828125e-05
list, 2, 90, 3.314018249511719e-05
list, 2, 90, 3.695487976074219e-05
list, 2, 90, 5.888938903808594e-05
list, 2, 90, 4.863739013671875e-05
list, 2, 90, 5.6743621826171875e-05
list, 2, 95, 2.7179718017578125e-05
list, 2, 95, 2.9087066650390625e-05
list, 2, 95, 2.7179718017578125e-05
list, 2, 95, 3.910064697265625e-05
list, 2, 95, 3.24249267578125e-05
list, 2, 95, 2.8133392333984375e-05
list, 2, 95, 3.314018249511719e-05
list, 2, 95, 3.4332275390625e-05
list, 2, 95, 3.62396240234375e-05
list, 2, 95, 3.337860107421875e-05
list, 2, 100, 3.695487976074219e-05
list, 2, 100, 3.838539123535156e-05
list, 2, 100, 3.62396240234375e-05
list, 2, 100, 4.315376281738281e-05
list, 2, 100, 2.9087066650390625e-05
list, 2, 100, 3.5762786865234375e-05
list, 2, 100, 9.870529174804688e-05
list, 2, 100, 6.318092346191406e-05
list, 2, 100, 4.100799560546875e-05
list, 2, 100, 5.745887756347656e-05
list, 3, 5, 3.8623809814453125e-05
list, 3, 5, 4.076957702636719e-05
list, 3, 5, 3.62396240234375e-05
list, 3, 5, 6.008148193359375e-05
list, 3, 5, 5.2928924560546875e-05
list, 3, 5, 6.0558319091796875e-05
list, 3, 5, 4.7206878662109375e-05
list, 3, 5, 4.291534423828125e-05
list, 3, 5, 4.029273986816406e-05
list, 3, 5, 6.222724914550781e-05
list, 3, 10, 4.935264587402344e-05
list, 3, 10, 3.552436828613281e-05
list, 3, 10, 3.743171691894531e-05
list, 3, 10, 3.600120544433594e-05
list, 3, 10, 3.1948089599609375e-05
list, 3, 10, 3.600120544433594e-05
list, 3, 10, 5.14984130859375e-05
list, 3, 10, 4.792213439941406e-05
list, 3, 10, 4.267692565917969e-05
list, 3, 10, 5.53131103515625e-05
list, 3, 15, 4.482269287109375e-05
list, 3, 15, 3.147125244140625e-05
list, 3, 15, 4.9114227294921875e-05
list, 3, 15, 4.5299530029296875e-05
list, 3, 15, 5.936622619628906e-05
list, 3, 15, 3.075599670410156e-05
list, 3, 15, 3.981590270996094e-05
list, 3, 15, 3.5762786865234375e-05
list, 3, 15, 3.647804260253906e-05
list, 3, 15, 4.863739013671875e-05
list, 3, 20, 4.57763671875e-05
list, 3, 20, 3.0994415283203125e-05
list, 3, 20, 3.647804260253906e-05
list, 3, 20, 3.504753112792969e-05
list, 3, 20, 3.552436828613281e-05
list, 3, 20, 4.649162292480469e-05
list, 3, 20, 5.650520324707031e-05
list, 3, 20, 3.838539123535156e-05
list, 3, 20, 3.8623809814453125e-05
list, 3, 20, 5.53131103515625e-05
list, 3, 25, 6.651878356933594e-05
list, 3, 25, 3.266334533691406e-05
list, 3, 25, 3.600120544433594e-05
list, 3, 25, 3.3855438232421875e-05
list, 3, 25, 3.8623809814453125e-05
list, 3, 25, 2.956390380859375e-05
list, 3, 25, 3.5762786865234375e-05
list, 3, 25, 3.933906555175781e-05
list, 3, 25, 7.176399230957031e-05
list, 3, 25, 3.24249267578125e-05
